合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,374.80,374.90,374.00,374.72,-1.96,-0.52%,374.73,"1,220.00","556,902,680.00",-,,
Au99.99,388.50,388.50,371.00,374.73,-2.02,-0.54%,374.91,"9,579.60","3,589,588,763.40",-,,
Au100g,377.19,377.19,375.00,375.35,-1.86,-0.49%,375.47,27.00,"10,137,690.00",-,,
Au(T+D),377.10,377.10,374.20,374.77,-3.16,-0.84%,374.92,"18,954.00","7,106,291,120.00","154,198",空支付给多,"12,702"
Au(T+N1),381.85,381.85,378.05,379.20,-2.65,-0.69%,379.60,13.80,"5,238,270.00",700,,
Au(T+N2),378.00,378.45,376.10,377.25,-1.45,-0.38%,377.20,7.40,"2,791,320.00","89,264",,
mAu(T+D),377.20,377.85,374.35,374.80,-3.13,-0.83%,375.21,"3,487.00","1,308,382,556.00","538,440",空支付给多,"14,794"
Pt99.95,220.00,220.00,217.01,218.45,-2.60,-1.18%,218.32,"1,200.00","268,008,940.00",-,,
Ag(T+D),"5,310","5,317","5,231","5,249",-84,-1.58%,"5,257","3,787,914.00","19,914,684,734.00","7,301,822",多支付给空,"371,370"
NYAuTN06,382.80,382.80,380.25,380.75,-2.85,-0.74%,381.25,30.20,"11,514,310.00","12,644",,
NYAuTN12,379.80,379.80,377.05,377.60,-3.45,-0.91%,378.25,16.60,"6,279,210.00","36,054",,
PGC30g,380.55,380.74,380.50,380.57,-1.97,-0.52%,380.57,0.24,"91,337.40",-,,
