合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,404.50,404.50,403.40,403.60,1.63,0.41%,404.06,424.00,"171,321,800.00",-,,
Au99.99,402.40,404.80,402.00,404.10,3.10,0.77%,404.15,"15,551.36","6,073,215,142.00",-,,
Au100g,402.73,405.39,402.08,404.67,1.94,0.48%,404.26,24.00,"9,702,356.00",-,,
iAu99.99,408.00,408.00,408.00,408.00,1.50,0.37%,408.00,0.04,"16,320.00",-,,
Au(T+D),402.10,404.66,401.34,403.65,1.45,0.36%,403.60,"36,690.00","14,808,359,920.00","208,556",多支付给空,"5,050"
Au(T+N1),411.55,411.80,410.15,410.25,0.05,0.01%,410.80,329.60,"135,402,800.00","39,182",,
Au(T+N2),403.00,406.20,403.00,404.85,1.70,0.42%,404.45,"1,116.80","451,690,890.00","166,406",,
mAu(T+D),402.50,404.71,401.70,404.01,1.59,0.40%,403.74,"7,760.00","3,133,044,540.00","613,294",多支付给空,"123,032"
Pt99.95,197.71,197.71,196.51,197.08,4.39,2.28%,197.26,164.00,"32,352,100.00",-,,
Ag(T+D),"5,177","5,280","5,158","5,254",66,1.27%,"5,226","13,403,640.00","70,059,895,262.00","11,548,114",多支付给空,"13,950"
NYAuTN06,415.65,416.85,413.95,415.75,0.95,0.23%,415.30,193.60,"80,399,770.00","37,318",,
NYAuTN12,410.85,413.25,410.00,411.90,1.05,0.26%,411.65,201.40,"82,910,830.00","79,702",,
PGC30g,409.50,409.50,409.15,409.32,2.02,0.50%,409.32,0.12,"49,119.00",-,,
