合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,373.90,374.00,373.85,373.91,-0.36,-0.10%,373.91,28.00,"10,469,600.00",-,,
Au99.99,374.40,374.40,371.79,373.66,-0.73,-0.20%,373.54,"12,015.70","4,529,093,655.60",-,,
Au100g,374.20,374.65,370.19,373.67,-0.33,-0.09%,373.58,46.20,"17,259,618.00",-,,
iAu99.99,372.25,373.50,371.45,373.19,-0.79,-0.21%,372.88,"1,000.00","372,886,508.00",-,,
Au(T+D),373.69,374.26,371.60,373.62,-0.24,-0.06%,373.25,"21,008.00","7,841,419,900.00","149,600",空支付给多,"9,312"
Au(T+N1),376.70,378.80,376.70,377.75,0.70,0.19%,377.75,4.00,"1,511,000.00",720,,
Au(T+N2),374.00,376.00,373.40,374.95,-0.25,-0.07%,374.90,16.00,"5,998,100.00","88,974",,
mAu(T+D),373.70,374.70,371.75,373.64,-0.18,-0.05%,373.17,"5,921.60","2,209,778,248.00","541,716",空支付给多,"20,594"
Pt99.95,219.37,221.29,219.37,220.23,5.17,2.40%,220.31,124.00,"26,733,820.00",-,,
Ag(T+D),"4,990","4,995","4,890","4,969",-21,-0.42%,"4,951","4,787,754.00","23,708,211,842.00","7,352,814",多支付给空,"172,410"
NYAuTN06,379.20,380.00,377.35,379.35,-0.05,-0.01%,378.90,73.00,"27,658,780.00","16,386",,
NYAuTN12,375.45,376.05,373.80,375.55,-0.20,-0.05%,375.10,89.20,"33,460,390.00","35,036",,
PGC30g,379.80,380.00,379.80,379.94,-0.05,-0.01%,379.94,0.30,"113,984.40",-,,
