合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,368.00,372.80,368.00,372.10,3.84,1.04%,371.94,240.00,"89,266,900.00",-,,
Au99.99,368.50,373.10,367.00,372.99,2.41,0.65%,372.20,"17,025.76","6,336,939,549.80",-,,
Au100g,368.55,373.49,367.10,372.97,3.06,0.83%,371.83,46.40,"17,253,072.00",-,,
Au(T+D),367.71,372.79,366.60,372.39,1.34,0.36%,370.42,"41,796.00","15,482,378,860.00","237,368",空支付给多,"9,098"
Au(T+N1),372.05,379.00,372.00,377.65,-0.10,-0.03%,376.20,26.80,"10,082,360.00","40,926",,
Au(T+N2),365.05,373.00,364.25,372.20,1.50,0.40%,365.70,100.20,"36,642,180.00","138,982",多支付给空,6
mAu(T+D),368.15,372.99,366.80,372.92,1.77,0.48%,370.98,"6,361.20","2,359,922,570.00","523,682",空支付给多,"28,612"
Pt99.95,216.17,217.05,216.17,216.68,4.94,2.33%,216.53,164.00,"35,511,400.00",-,,
Ag99.99,"4,721","4,721","4,721","4,721",75,1.61%,"4,721",30.00,"141,630.00",2,,
Ag(T+D),"4,611","4,780","4,586","4,777",97,2.07%,"4,691","15,837,160.00","74,298,508,948.00","12,522,904",多支付给空,"65,340"
NYAuTN06,378.85,383.70,378.15,382.95,2.30,0.60%,381.35,658.00,"250,937,580.00","48,034",,
NYAuTN12,373.50,377.70,372.45,377.55,2.35,0.63%,376.80,321.80,"121,261,330.00","37,884",,
PGC30g,377.40,377.40,377.40,377.40,3.94,1.06%,377.40,0.06,"22,644.00",-,,
