合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,388.00,388.40,388.00,388.26,3.76,0.98%,388.12,"1,014.00","367,137,540.00",-,,
Au99.99,385.78,388.90,385.30,388.89,4.28,1.11%,388.39,"9,104.44","3,534,332,226.40",-,,
Au100g,387.97,389.09,385.10,389.01,4.36,1.13%,388.23,32.80,"12,734,164.00",-,,
iAu99.99,385.56,389.00,385.56,387.85,2.29,0.59%,387.85,6.04,"2,342,650.00",-,,
iAu100g,343.00,343.00,343.00,343.00,33.00,10.65%,343.00,2.00,"686,000.00",-,,
Au(T+D),386.20,388.86,385.52,388.85,4.85,1.26%,387.77,"90,430.00","35,066,678,140.00","233,034",空支付给多,"7,676"
Au(T+N1),386.00,388.60,386.00,388.15,3.95,1.03%,387.45,3.80,"1,472,350.00","111,360",多支付给空,
Au(T+N2),388.50,390.70,388.50,390.50,4.20,1.09%,390.50,90.40,"35,300,170.00","138,560",多支付给空,200
mAu(T+D),386.10,388.88,385.46,388.86,4.62,1.20%,387.87,"10,891.00","4,224,300,316.00","841,750",多支付给空,"19,344"
Pt99.95,196.00,202.00,196.00,200.11,1.31,0.66%,199.02,116.00,"23,086,500.00",-,,
Ag99.99,"4,310","4,310","4,310","4,310",35,0.82%,"4,310",60.00,"258,600.00",4,,
Ag(T+D),"4,255","4,291","4,243","4,283",39,0.92%,"4,274","11,009,832.00","47,061,491,154.00","13,186,522",多支付给空,"77,880"
NYAuTN06,387.90,390.45,387.75,389.25,4.55,1.18%,389.65,422.60,"164,658,590.00","35,380",,
NYAuTN12,391.95,394.80,390.05,394.75,5.15,1.32%,393.95,753.40,"296,789,370.00","79,432",,
PGC30g,394.21,394.21,394.03,394.16,3.47,0.89%,394.16,0.24,"94,599.60",-,,
