合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,369.30,370.60,369.00,370.37,-1.43,-0.38%,369.78,316.00,"116,852,000.00",-,,
Au99.99,372.30,372.39,368.00,370.97,-1.47,-0.39%,369.58,"7,850.42","2,901,422,624.80",-,,
Au100g,371.50,371.89,369.00,371.59,-1.62,-0.43%,370.78,58.20,"21,579,764.00",-,,
iAu99.99,371.50,371.50,367.50,368.53,-2.63,-0.71%,368.00,912.28,"335,719,232.00",-,,
iAu100g,368.00,368.00,368.00,368.00,8.00,2.22%,368.00,0.20,"73,600.00",-,,
Au(T+D),371.31,372.40,367.50,370.47,-1.98,-0.53%,369.82,"25,378.00","9,385,440,680.00","154,974",多支付给空,"11,780"
Au(T+N1),370.50,371.50,369.00,371.00,-2.55,-0.68%,370.05,239.00,"88,440,960.00","132,518",多支付给空,
Au(T+N2),374.50,374.50,370.60,372.25,-5.10,-1.35%,372.15,48.60,"18,086,610.00","88,930",,
mAu(T+D),371.41,372.40,367.58,370.58,-2.16,-0.58%,369.82,"7,616.60","2,816,825,184.00","491,834",多支付给空,"66,858"
Pt99.95,263.00,263.88,256.00,260.69,-1.81,-0.69%,259.70,"1,354.00","351,635,060.00",-,,
Ag(T+D),"5,426","5,440","5,303","5,332",-72,-1.33%,"5,352","6,051,116.00","32,389,181,568.00","7,848,494",多支付给空,"360,000"
NYAuTN06,371.00,371.80,367.00,369.35,-3.00,-0.81%,368.80,57.40,"21,168,690.00","37,764",,
NYAuTN12,376.00,376.20,371.90,373.90,-1.30,-0.35%,373.50,136.20,"50,868,760.00","24,886",,
PGC30g,375.50,376.00,375.50,375.75,-1.54,-0.41%,375.75,0.12,"45,090.00",-,,
