合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,391.30,391.80,391.00,391.30,0.43,0.11%,391.29,248.00,"97,040,600.00",-,,
Au99.99,390.06,392.90,390.05,392.10,0.60,0.15%,391.54,"11,383.22","4,456,651,236.00",-,,
Au100g,392.25,393.79,390.59,392.75,1.00,0.26%,392.44,24.40,"9,575,654.00",-,,
iAu99.99,394.20,395.00,394.20,394.20,-0.80,-0.20%,394.20,2.02,"796,300.00",-,,
Au(T+D),390.99,391.70,389.27,391.39,-0.10,-0.03%,390.91,"30,646.00","11,980,067,400.00","237,890",空支付给多,"9,052"
Au(T+N1),397.55,397.70,395.90,397.55,-0.05,-0.01%,397.45,10.00,"3,974,540.00","40,144",,
Au(T+N2),393.10,393.20,390.30,391.55,-1.00,-0.25%,391.60,8.60,"3,367,590.00","138,304",,
mAu(T+D),391.02,392.00,389.50,391.55,-0.24,-0.06%,391.23,"5,373.20","2,102,186,462.00","523,986",空支付给多,"31,240"
Pt99.95,210.07,210.82,210.07,210.68,4.38,2.12%,210.62,50.00,"10,531,420.00",-,,
Ag(T+D),"4,991","5,043","4,937","5,017",-37,-0.73%,"4,996","13,488,404.00","67,392,264,936.00","12,368,638",多支付给空,"36,930"
沪纽金TN06,402.60,402.65,400.50,401.50,-1.10,-0.27%,401.60,72.80,"29,237,190.00","43,458",,
沪纽金TN12,396.20,396.75,394.95,395.75,-1.60,-0.40%,395.95,354.80,"140,486,410.00","41,638",,
熊猫金币30g,395.00,395.70,395.00,395.46,-1.32,-0.33%,395.46,0.18,"71,182.80",-,,
