合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,400.30,401.30,400.30,400.53,0.73,0.18%,400.78,76.00,"30,459,400.00",-,,
Au99.99,400.33,401.75,399.80,400.39,0.06,0.02%,400.99,"8,773.88","3,376,468,985.60",-,,
Au100g,400.85,401.59,400.20,400.78,0.71,0.18%,400.97,21.60,"8,660,988.00",-,,
iAu99.99,405.00,405.00,405.00,405.00,1.66,0.41%,405.00,0.20,"81,000.00",-,,
iAu100g,350.00,350.00,350.00,350.00,-45.99,-11.61%,350.00,0.20,"70,000.00",-,,
Au(T+D),400.05,401.76,399.42,400.67,0.34,0.08%,400.91,"50,944.00","20,424,077,460.00","258,586",多支付给空,"6,756"
Au(T+N1),406.60,408.15,405.45,407.75,1.30,0.32%,407.70,88.80,"36,202,250.00","24,872",多支付给空,200
Au(T+N2),402.75,404.45,402.70,404.20,1.25,0.31%,404.20,44.60,"18,026,750.00","141,342",多支付给空,600
mAu(T+D),399.93,401.78,399.45,400.72,0.46,0.11%,400.88,"6,793.20","2,723,260,600.00","903,862",多支付给空,"18,824"
Pt99.95,195.00,195.20,193.80,195.11,-0.89,-0.45%,194.57,304.00,"59,042,140.00",-,,
Ag(T+D),"4,518","4,575","4,514","4,564",28,0.62%,"4,547","12,291,496.00","55,894,530,782.00","14,329,028",多支付给空,"31,740"
NYAuTN06,411.10,413.95,411.05,413.00,0.30,0.07%,412.85,183.40,"75,718,830.00","18,836",,
NYAuTN12,409.05,410.55,408.20,409.70,0.50,0.12%,409.75,209.80,"85,967,990.00","74,442",,
PGC30g,406.51,406.51,406.45,406.48,1.30,0.32%,406.48,0.12,"48,777.60",-,,
