合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,420.00,423.80,420.00,423.01,3.68,0.88%,421.47,436.00,"183,762,600.00",-,,
Au99.99,420.38,424.04,419.02,423.98,4.98,1.19%,423.13,"14,993.86","6,335,557,831.40",-,,
Au100g,419.24,424.05,419.00,423.56,3.93,0.94%,422.20,48.60,"20,519,048.00",-,,
Au(T+D),419.80,424.00,418.58,423.76,4.24,1.01%,422.05,"57,422.00","24,235,360,960.00","245,304",多支付给空,"8,754"
Au(T+N1),427.05,432.80,427.05,432.10,3.95,0.92%,431.25,14.40,"6,210,070.00","32,570",,
Au(T+N2),423.35,427.60,423.35,426.80,3.85,0.91%,426.20,19.60,"8,353,210.00","154,460",,
mAu(T+D),420.00,424.16,418.70,423.92,4.32,1.03%,422.23,"8,273.60","3,493,424,426.00","959,712",多支付给空,"21,800"
Pt99.95,214.85,217.81,214.70,217.77,2.55,1.18%,216.41,62.00,"13,417,720.00",-,,
Ag99.99,"6,316","6,316","6,316","6,316",573,9.98%,"6,316",150.00,"947,400.00",10,,
Ag(T+D),"6,153","6,329","6,120","6,319",212,3.47%,"6,235","19,402,236.00","120,991,038,352.00","12,184,536",多支付给空,90
NYAuTN06,440.45,445.35,440.45,444.65,4.15,0.94%,443.75,93.00,"41,268,730.00","22,886",,
NYAuTN12,436.00,440.30,435.15,440.15,4.30,0.99%,438.50,286.20,"125,501,310.00","96,090",,
PGC30g,425.88,429.10,425.59,428.52,2.90,0.68%,427.23,0.78,"333,239.40",-,,
