合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,374.90,375.00,374.00,374.34,-0.90,-0.24%,374.44,312.00,"116,826,280.00",-,,
Au99.99,375.50,375.50,373.25,373.81,-1.39,-0.37%,374.66,"14,661.62","5,508,864,890.40",-,,
Au100g,374.88,376.20,374.61,375.06,-1.41,-0.37%,375.59,21.40,"8,037,724.00",-,,
iAu99.99,373.30,373.70,372.80,373.00,-0.94,-0.25%,373.38,"1,330.04","496,621,920.00",-,,
Au(T+D),374.47,375.19,372.90,373.59,-2.02,-0.54%,374.32,"20,772.00","7,775,402,580.00","163,196",空支付给多,"8,238"
Au(T+N1),374.05,377.30,374.05,376.90,-0.15,-0.04%,375.70,17.40,"6,537,320.00","135,248",多支付给空,600
Au(T+N2),377.00,378.80,376.20,377.55,-1.20,-0.32%,377.55,8.20,"3,095,900.00","88,856",,
mAu(T+D),374.50,375.28,372.90,373.80,-1.70,-0.45%,374.40,"4,322.80","1,618,457,408.00","521,950",空支付给多,"18,836"
Pt99.95,261.33,261.89,260.94,261.70,0.16,0.06%,261.51,290.00,"75,032,600.00",-,,
Ag(T+D),"5,450","5,459","5,373","5,392",-59,-1.08%,"5,418","4,957,114.00","26,862,463,288.00","8,103,756",空支付给多,"221,220"
NYAuTN06,373.55,374.85,372.40,373.65,-1.85,-0.49%,373.85,110.00,"41,122,580.00","37,864",,
NYAuTN12,378.30,379.45,377.10,378.55,-1.85,-0.49%,378.50,51.80,"19,606,920.00","25,640",,
PGC30g,381.20,381.20,380.66,380.93,-0.57,-0.15%,380.93,0.24,"91,423.20",-,,
