合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,439.00,439.50,430.01,432.00,-9.09,-2.06%,432.49,922.00,"350,505,300.00",-,,
Au99.99,442.98,444.80,430.10,433.00,-8.90,-2.01%,437.46,"9,327.22","4,001,952,472.00",-,,
Au100g,442.79,444.97,431.61,433.17,-9.86,-2.23%,437.87,75.20,"32,927,956.00",-,,
iAu99.99,441.00,441.00,441.00,441.00,-11.00,-2.43%,441.00,0.02,"8,820.00",-,,
Au(T+D),441.90,444.60,429.00,432.24,-10.49,-2.37%,438.17,"165,032.00","72,312,532,800.00","298,988",空支付给多,"7,080"
Au(T+N1),455.25,455.45,441.00,442.20,-10.95,-2.42%,449.70,81.60,"36,697,300.00","29,864",,
Au(T+N2),443.15,449.00,434.35,435.80,-9.95,-2.23%,442.35,159.40,"70,512,660.00","148,854",,
mAu(T+D),442.20,444.68,430.60,432.62,-9.98,-2.25%,438.18,"17,694.60","7,753,504,286.00","1,035,538",空支付给多,"23,664"
Pt99.95,227.30,230.16,223.99,224.86,-3.37,-1.48%,227.49,98.00,"22,294,480.00",-,,
Ag99.99,"6,277","6,277","6,277","6,277",570,9.99%,"6,277",60.00,"376,620.00",4,,
Ag(T+D),"6,569","6,818","6,397","6,482",-27,-0.41%,"6,642","49,017,432.00","325,607,649,660.00","13,639,694",空支付给多,"68,790"
NYAuTN06,464.85,468.40,453.45,454.90,-10.35,-2.22%,461.50,497.20,"229,468,640.00","20,808",,
NYAuTN12,458.85,461.70,446.40,449.45,-9.70,-2.11%,454.15,852.60,"387,214,960.00","91,742",,
PGC30g,449.30,449.30,437.65,438.32,-8.44,-1.89%,442.24,1.98,"875,651.40",-,,
