合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,364.30,366.50,364.20,366.34,-1.43,-0.39%,365.29,254.00,"92,785,540.00",-,,
Au99.99,368.26,370.00,360.00,367.37,-0.89,-0.24%,365.55,"21,695.14","7,931,624,000.40",-,,
Au100g,369.00,369.36,360.80,368.90,0.09,0.02%,365.81,46.80,"17,119,940.00",-,,
iAu99.99,360.10,365.50,360.10,364.63,-0.02,-0.01%,363.93,"1,350.02","491,319,702.00",-,,
Au(T+D),367.43,368.88,358.88,366.85,-2.59,-0.70%,364.40,"52,418.00","19,101,213,520.00","162,126",空支付给多,"10,802"
Au(T+N1),371.95,371.95,362.00,369.20,-3.30,-0.89%,368.35,253.40,"93,344,250.00","141,212",,
Au(T+N2),372.00,373.00,366.80,370.95,-3.55,-0.95%,370.10,17.40,"6,440,010.00","65,478",,
mAu(T+D),367.55,369.09,359.40,366.99,-3.06,-0.83%,364.54,"16,662.00","6,074,110,476.00","593,170",空支付给多,"58,268"
Pt99.95,256.06,264.00,254.95,263.65,1.77,0.68%,258.72,174.00,"45,017,860.00",-,,
Ag(T+D),"5,456","5,520","5,373","5,508",-99,-1.77%,"5,457","11,023,876.00","60,168,066,136.00","8,360,852",多支付给空,"157,080"
NYAuTN06,368.25,369.95,360.35,367.15,-3.05,-0.82%,365.15,132.60,"48,417,000.00","38,804",,
NYAuTN12,374.00,375.15,366.15,372.15,-3.75,-1.00%,371.25,44.60,"16,556,910.00","16,840",,
PGC30g,373.22,373.22,369.88,370.98,-2.23,-0.60%,371.10,1.50,"556,661.40",-,,
