合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,379.00,381.00,379.00,380.69,1.15,0.30%,379.74,270.00,"102,532,400.00",-,,
Au99.99,378.01,381.80,378.01,381.13,1.72,0.45%,380.00,"9,756.30","3,716,327,384.00",-,,
Au100g,380.45,383.00,379.87,382.28,2.26,0.59%,380.90,24.20,"9,217,832.00",-,,
iAu99.99,378.40,379.75,377.50,378.97,0.98,0.26%,378.46,"2,752.88","1,041,871,221.40",-,,
Au(T+D),378.90,381.83,378.40,380.92,0.70,0.18%,380.03,"28,666.00","10,894,211,240.00","169,444",多支付给空,"9,860"
Au(T+N1),380.20,383.40,380.00,382.35,0.65,0.17%,382.05,9.60,"3,667,490.00","132,562",多支付给空,600
Au(T+N2),381.00,384.00,381.00,383.35,1.25,0.33%,383.15,6.40,"2,452,050.00","88,958",,
mAu(T+D),379.01,381.78,378.19,381.14,0.95,0.25%,380.15,"5,917.20","2,249,445,566.00","499,892",多支付给空,"17,906"
Pt99.95,260.00,262.50,259.00,261.60,-0.86,-0.33%,261.32,868.00,"226,831,700.00",-,,
Ag(T+D),"5,534","5,604","5,501","5,585",-19,-0.34%,"5,553","6,212,838.00","34,501,608,642.00","7,898,118",多支付给空,"270,840"
NYAuTN06,378.90,382.00,378.90,381.45,1.35,0.36%,380.55,46.40,"17,657,500.00","36,884",,
NYAuTN12,381.45,384.90,381.45,384.45,0.95,0.25%,383.40,50.40,"19,324,550.00","25,506",,
PGC30g,387.21,387.21,387.21,387.21,-0.12,-0.03%,387.21,0.06,"23,232.60",-,,
