合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,363.60,363.60,362.00,362.30,3.83,1.07%,363.06,162.00,"58,816,600.00",-,,
Au99.99,361.30,364.68,360.23,362.50,1.97,0.55%,363.22,"6,878.72","2,338,386,739.40",-,,
Au100g,361.99,363.94,361.01,362.81,1.69,0.47%,362.82,25.40,"9,215,788.00",-,,
iAu99.99,363.31,365.00,363.00,364.42,5.57,1.55%,364.57,137.24,"50,034,493.40",-,,
Au(T+D),360.78,364.39,360.12,362.71,4.89,1.37%,362.89,"92,304.00","33,496,610,000.00","245,028",多支付给空,"28,126"
Au(T+N1),363.00,367.00,359.50,363.70,4.25,1.18%,363.65,42.80,"15,564,420.00","195,428",,
Au(T+N2),365.00,368.90,365.00,366.50,5.15,1.43%,366.80,21.20,"7,776,720.00","118,070",,
mAu(T+D),361.00,364.47,360.61,362.68,4.89,1.37%,362.96,"18,135.20","6,582,443,238.00","869,560",多支付给空,"61,068"
Pt99.95,172.70,175.20,172.70,174.10,-1.72,-0.98%,174.62,514.00,"89,757,180.00",-,,
Ag(T+D),"3,508","3,582","3,508","3,545",106,3.08%,"3,545","12,713,842.00","45,072,793,950.00","9,182,926",空支付给多,"16,260"
NYAuTN06,365.25,369.30,365.25,368.10,5.80,1.60%,367.80,747.00,"274,739,190.00","62,746",,
NYAuTN12,367.10,370.20,367.10,368.70,5.10,1.40%,369.00,400.00,"147,607,170.00","44,570",,
PGC30g,371.27,371.27,368.50,368.66,4.54,1.25%,369.45,0.54,"199,506.60",-,,
