合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,363.80,363.80,362.50,362.82,-1.51,-0.41%,362.97,68.00,"24,682,400.00",-,,
Au99.99,365.44,365.50,362.00,363.50,-1.94,-0.53%,362.99,"20,336.46","7,382,564,999.60",-,,
Au100g,365.10,369.00,362.50,365.10,-4.07,-1.10%,364.49,65.60,"23,911,020.00",-,,
iAu99.99,363.72,363.72,361.50,361.90,-1.82,-0.50%,362.01,813.62,"294,546,425.20",-,,
Au(T+D),364.26,365.53,361.10,363.12,-2.75,-0.75%,362.96,"26,844.00","9,743,437,160.00","165,966",空支付给多,"8,188"
Au(T+N1),367.25,368.95,367.05,368.00,-5.05,-1.35%,368.15,7.40,"2,724,200.00",716,,
Au(T+N2),363.40,367.10,362.50,364.30,-6.55,-1.77%,364.40,14.00,"5,101,820.00","89,060",,
mAu(T+D),364.57,365.50,361.50,363.09,-2.70,-0.74%,363.04,"10,463.40","3,798,672,636.00","597,496",空支付给多,"43,606"
Pt99.95,212.00,216.75,212.00,216.00,2.44,1.14%,215.20,232.00,"49,928,120.00",-,,
Ag99.99,"5,039","5,039","5,039","5,039",-44,-0.87%,"5,039","3,000.00","15,117,000.00",200,,
Ag(T+D),"5,060","5,074","4,955","5,013",-85,-1.67%,"5,014","4,315,820.00","21,643,763,288.00","7,742,444",多支付给空,"252,360"
NYAuTN06,370.65,370.80,367.00,368.25,-4.80,-1.29%,368.50,15.20,"5,600,940.00","13,420",,
NYAuTN12,367.05,367.35,363.35,364.70,-3.10,-0.84%,364.65,49.00,"17,868,850.00","35,354",,
PGC30g,370.00,370.00,369.00,369.50,-1.35,-0.36%,369.62,1.14,"421,368.60",-,,
