合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,367.30,367.30,366.00,366.10,-3.25,-0.88%,366.68,396.00,"145,208,300.00",-,,
Au99.99,369.00,369.50,365.60,365.82,-3.47,-0.94%,366.55,"7,829.18","2,869,796,260.40",-,,
Au100g,370.00,370.00,365.89,366.00,-4.31,-1.16%,366.81,33.60,"12,324,872.00",-,,
iAu99.99,366.50,366.50,365.50,366.09,-2.80,-0.76%,366.29,963.58,"353,653,900.00",-,,
Au(T+D),368.50,369.70,365.17,365.50,-4.21,-1.14%,366.45,"27,830.00","10,198,337,900.00","169,040",多支付给空,"4,880"
Au(T+N1),373.60,374.00,370.00,371.75,-3.00,-0.80%,371.85,13.20,"4,908,180.00",606,,
Au(T+N2),-,-,-,-,,,-,0.00,0.00,"89,260",,
mAu(T+D),368.50,369.57,365.30,365.89,-3.87,-1.05%,366.42,"5,644.80","2,068,375,658.00","568,352",空支付给多,"14,578"
Pt99.95,235.00,235.45,230.00,230.00,-5.67,-2.41%,231.77,770.00,"178,467,360.00",-,,
Ag(T+D),"5,325","5,347","5,258","5,297",-57,-1.06%,"5,296","4,380,746.00","23,203,178,390.00","8,307,156",多支付给空,"148,170"
NYAuTN06,374.25,374.25,371.75,372.45,-4.35,-1.15%,373.20,26.80,"10,001,350.00","5,472",,
NYAuTN12,372.55,372.55,369.40,369.90,-3.85,-1.03%,370.60,183.00,"67,817,410.00","37,154",,
PGC30g,372.75,374.00,372.00,372.77,-3.23,-0.86%,372.77,0.66,"246,030.00",-,,
