合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,375.00,375.00,374.40,374.59,-2.61,-0.69%,374.68,164.00,"61,486,300.00",-,,
Au99.99,375.01,376.40,374.24,375.01,-2.02,-0.54%,374.82,"12,632.56","4,792,191,669.60",-,,
Au100g,375.58,377.79,374.80,375.94,-2.53,-0.67%,375.61,31.20,"11,719,330.00",-,,
iAu99.99,374.00,375.00,374.00,374.50,-2.57,-0.68%,374.50,0.04,"14,980.00",-,,
Au(T+D),375.22,375.99,374.20,374.96,-2.86,-0.76%,374.77,"25,980.00","9,736,557,740.00","154,406",空支付给多,"5,850"
Au(T+N1),380.00,380.90,379.00,380.25,-2.00,-0.52%,379.85,5.80,"2,203,120.00",684,,
Au(T+N2),376.00,378.95,376.00,377.55,-2.30,-0.61%,377.55,1.40,"528,570.00","89,332",,
mAu(T+D),375.45,375.93,374.30,374.98,-2.56,-0.68%,374.89,"3,788.40","1,420,245,754.00","536,370",多支付给空,"10,104"
Pt99.95,231.90,234.62,231.90,233.86,1.86,0.80%,233.93,180.00,"42,108,960.00",-,,
Ag99.99,"5,362","5,362","5,362","5,362",-50,-0.92%,"5,362",60.00,"321,720.00",4,,
Ag(T+D),"5,196","5,250","5,180","5,237",50,0.96%,"5,223","2,796,976.00","14,609,491,052.00","8,936,506",多支付给空,"211,800"
NYAuTN06,381.90,382.95,381.00,381.60,-3.15,-0.82%,381.60,11.00,"4,197,490.00","11,748",,
NYAuTN12,378.60,379.35,377.80,378.20,-2.85,-0.75%,378.50,39.60,"14,989,320.00","36,970",,
PGC30g,380.00,380.00,380.00,380.00,-2.28,-0.60%,380.00,0.06,"22,800.00",-,,
