合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,379.00,381.65,379.00,381.62,3.87,1.02%,380.78,248.00,"94,434,000.00",-,,
Au99.99,380.50,382.99,378.20,382.98,4.55,1.20%,381.36,"11,004.46","4,193,437,472.80",-,,
Au100g,380.44,383.00,377.74,382.31,4.56,1.21%,381.26,32.60,"12,429,304.00",-,,
Au(T+D),380.10,382.44,377.09,382.32,5.49,1.46%,380.18,"35,262.00","13,406,078,340.00","235,972",空支付给多,"4,854"
Au(T+N1),386.50,387.20,383.00,385.90,3.50,0.92%,385.80,33.80,"13,040,320.00","41,076",,
Au(T+N2),383.60,383.60,380.00,381.40,4.40,1.17%,381.40,1.00,"381,400.00","137,950",多支付给空,400
mAu(T+D),380.50,382.55,377.34,382.54,5.45,1.45%,380.36,"7,457.40","2,836,525,876.00","538,466",空支付给多,"30,476"
Pt99.95,221.70,222.82,221.70,222.73,5.73,2.64%,222.70,280.00,"59,933,060.00",-,,
Ag(T+D),"5,016","5,016","4,903","5,007",92,1.87%,"4,959","15,996,990.00","79,343,709,872.00","12,422,940",多支付给空,"45,270"
沪纽金TN06,390.75,392.50,387.70,392.25,4.95,1.28%,390.25,136.60,"53,308,820.00","48,112",,
沪纽金TN12,385.10,387.00,382.50,386.70,4.70,1.23%,384.80,101.40,"39,020,260.00","37,026",,
熊猫金币30g,386.50,386.86,386.50,386.67,4.67,1.22%,386.60,0.48,"185,571.00",-,,
