合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,398.49,398.80,398.35,398.58,1.86,0.47%,398.57,36.00,"14,348,680.00",-,,
Au99.99,398.00,398.80,397.51,398.69,1.25,0.31%,398.48,"7,240.72","2,884,558,138.60",-,,
Au100g,399.50,399.65,398.00,398.98,1.38,0.35%,399.14,22.60,"9,020,608.00",-,,
Au(T+D),398.01,398.88,397.36,398.35,0.92,0.23%,398.27,"39,118.00","15,579,627,700.00","263,316",多支付给空,"6,192"
Au(T+N1),403.95,405.90,403.95,405.40,0.90,0.22%,405.25,3.60,"1,458,840.00","25,050",多支付给空,296
Au(T+N2),401.80,401.80,400.20,400.70,0.80,0.20%,401.00,25.60,"10,266,280.00","141,932",多支付给空,100
mAu(T+D),398.10,398.85,397.50,398.65,1.25,0.31%,398.28,"4,714.60","1,877,775,966.00","924,324",多支付给空,"38,738"
Pt99.95,196.20,198.00,196.20,197.54,3.54,1.82%,197.77,342.00,"67,639,720.00",-,,
Ag(T+D),"4,516","4,560","4,511","4,547",31,0.69%,"4,536","10,062,458.00","45,650,190,078.00","13,976,918",多支付给空,"371,400"
NYAuTN06,411.40,412.80,410.95,412.05,1.65,0.40%,411.90,298.60,"122,993,430.00","20,072",,
NYAuTN12,408.45,409.10,407.60,408.90,2.25,0.55%,408.55,765.40,"312,702,620.00","81,730",,
PGC30g,404.08,404.45,404.08,404.23,2.25,0.56%,404.23,0.18,"72,761.40",-,,
