合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,378.00,380.80,376.10,377.19,5.74,1.55%,377.12,136.00,"51,288,800.00",-,,
Au99.99,373.80,379.00,371.09,377.00,5.05,1.36%,376.50,"16,521.54","6,219,435,849.20",-,,
Au100g,372.01,378.50,370.08,376.04,3.78,1.02%,375.83,89.40,"33,599,618.00",-,,
iAu99.99,380.00,382.00,378.00,379.61,2.09,0.55%,379.42,"2,061.00","790,545,040.00",-,,
Au(T+D),372.45,378.90,371.56,377.02,4.99,1.34%,375.54,"124,624.00","46,801,394,400.00","242,606",多支付给空,"21,292"
Au(T+N1),372.50,379.90,372.50,377.80,4.70,1.26%,377.20,45.00,"16,973,340.00","194,660",,
Au(T+N2),377.50,382.00,375.05,380.15,4.20,1.12%,379.15,87.00,"32,985,570.00","118,672",,
mAu(T+D),372.70,378.93,371.60,376.94,4.77,1.28%,375.58,"23,061.80","8,661,753,184.00","945,724",多支付给空,"38,024"
Pt99.95,176.00,180.50,176.00,179.35,2.35,1.33%,179.75,150.00,"26,963,220.00",-,,
Ag(T+D),"3,718","3,811","3,685","3,778",80,2.16%,"3,749","12,575,374.00","47,155,855,320.00","9,602,732",多支付给空,"146,130"
NYAuTN06,384.75,392.75,383.55,389.75,7.50,1.96%,389.30,"2,161.60","841,505,050.00","71,000",,
NYAuTN12,385.05,393.15,384.70,390.70,7.20,1.88%,390.05,"1,242.60","484,654,670.00","57,014",,
PGC30g,377.58,384.25,377.58,382.98,5.10,1.35%,382.40,1.20,"458,889.00",-,,
