合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,372.00,375.40,372.00,374.46,1.55,0.42%,374.75,550.00,"206,114,320.00",-,,
Au99.99,373.00,375.50,371.40,374.10,1.10,0.29%,374.52,"12,418.86","4,685,288,349.80",-,,
Au100g,376.00,376.00,374.76,375.94,2.22,0.59%,375.90,4.40,"1,653,980.00",-,,
iAu99.99,373.75,374.15,373.00,373.15,1.40,0.38%,373.87,"1,319.90","493,479,685.00",-,,
Au(T+D),370.98,375.38,370.51,374.00,1.29,0.35%,373.68,"20,280.00","7,578,319,160.00","137,786",空支付给多,"3,348"
Au(T+N1),376.95,378.05,376.95,377.75,1.20,0.32%,377.75,0.80,"302,200.00",704,,
Au(T+N2),374.45,375.50,373.75,374.90,2.35,0.63%,374.95,22.60,"8,473,690.00","89,156",,
mAu(T+D),371.80,375.55,370.81,374.05,1.14,0.31%,374.08,"6,037.00","2,258,335,406.00","563,872",空支付给多,"40,914"
Pt99.95,205.40,206.00,201.47,201.89,-5.73,-2.76%,202.87,554.00,"112,391,100.00",-,,
Ag(T+D),"5,000","5,075","4,990","5,030",4,0.08%,"5,036","3,228,310.00","16,259,638,550.00","6,952,522",多支付给空,"152,190"
NYAuTN06,377.00,381.00,376.50,380.10,1.60,0.42%,379.55,36.00,"13,664,570.00","21,512",,
NYAuTN12,372.45,377.00,372.30,375.85,1.65,0.44%,375.05,24.80,"9,301,910.00","34,436",,
PGC30g,380.75,380.75,380.75,380.75,2.19,0.58%,380.75,0.12,"45,690.00",-,,
