合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,408.50,408.50,401.30,402.66,-13.84,-3.32%,402.50,178.00,"71,197,600.00",-,,
Au99.99,410.00,410.01,399.30,402.10,-13.01,-3.13%,402.08,"10,753.72","4,298,195,046.00",-,,
Au100g,409.97,409.97,399.17,403.38,-12.64,-3.04%,402.20,46.80,"18,823,172.00",-,,
iAu99.99,409.00,410.00,400.99,403.05,-12.75,-3.07%,401.67,24.02,"9,648,271.20",-,,
Au(T+D),410.31,410.31,398.80,402.10,-11.79,-2.85%,403.39,"47,038.00","18,974,708,960.00","193,144",多支付给空,"12,754"
Au(T+N1),405.50,406.90,401.05,404.20,-10.85,-2.61%,403.85,49.40,"19,951,450.00","68,698",,
Au(T+N2),423.00,423.00,405.00,408.15,-10.15,-2.43%,407.05,272.40,"110,875,060.00","70,128",,
mAu(T+D),410.00,410.85,398.86,402.04,-12.36,-2.98%,403.48,"7,109.60","2,868,645,422.00","702,310",空支付给多,"54,810"
Pt99.95,238.20,238.20,227.09,227.64,-19.28,-7.81%,228.28,540.00,"123,275,060.00",-,,
Ag(T+D),"5,247","5,282","5,038","5,101",-195,-3.68%,"5,154","5,508,702.00","28,392,432,390.00","6,336,380",空支付给多,"348,690"
NYAuTN06,411.00,411.15,400.85,403.80,-12.80,-3.07%,403.75,114.60,"46,268,210.00","31,042",,
NYAuTN12,416.40,416.55,406.30,409.05,-12.90,-3.06%,409.05,657.60,"269,003,300.00","62,272",,
PGC30g,405.99,408.64,405.99,407.21,-10.62,-2.54%,407.21,0.24,"97,732.20",-,,
