合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,364.00,364.70,363.20,363.48,0.88,0.24%,364.06,452.00,"164,558,180.00",-,,
Au99.99,364.29,364.80,363.00,363.26,0.38,0.10%,364.05,"27,626.12","10,016,643,593.20",-,,
Au100g,364.00,364.99,362.06,363.91,0.42,0.12%,364.01,21.80,"7,935,552.00",-,,
iAu99.99,362.50,362.75,361.50,361.82,-0.63,-0.17%,362.14,"4,608.60","1,668,458,838.00",-,,
Au(T+D),363.80,364.80,362.10,363.16,1.20,0.33%,363.80,"23,012.00","8,371,928,040.00","156,216",空支付给多,"6,584"
Au(T+N1),365.05,366.40,363.50,364.95,0.25,0.07%,365.55,100.00,"36,557,270.00","160,648",多支付给空,
Au(T+N2),366.60,369.40,366.60,368.55,-0.05,-0.01%,368.05,7.80,"2,870,830.00","85,558",多支付给空,200
mAu(T+D),363.96,364.85,362.30,363.00,0.12,0.03%,363.83,"7,817.40","2,844,260,350.00","602,278",空支付给多,"56,168"
Pt99.95,263.18,263.70,262.00,262.51,1.38,0.53%,262.57,260.00,"68,270,460.00",-,,
Ag(T+D),"5,379","5,421","5,352","5,366",57,1.07%,"5,385","5,935,148.00","31,961,657,166.00","7,992,054",多支付给空,"64,050"
NYAuTN06,363.90,364.95,362.50,363.55,1.40,0.39%,363.95,89.60,"32,608,690.00","39,396",,
NYAuTN12,369.30,370.00,367.50,368.20,0.00,0.00%,368.90,21.20,"7,821,050.00","20,174",,
PGC30g,369.75,371.00,369.68,369.99,1.89,0.51%,369.97,6.84,"2,530,597.80",-,,
