合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,383.20,383.20,381.80,381.88,0.00,0.00%,382.33,234.00,"89,467,400.00",-,,
Au99.99,383.00,383.70,380.00,382.15,-0.05,-0.01%,382.34,"12,012.52","4,605,922,746.60",-,,
Au100g,382.82,382.82,381.01,381.87,-0.44,-0.12%,382.12,14.80,"5,655,518.00",-,,
iAu99.99,382.71,382.71,381.50,382.07,0.49,0.13%,382.09,6.74,"2,575,303.00",-,,
Au(T+D),383.58,383.58,381.80,382.50,1.60,0.42%,382.49,"18,718.00","7,159,519,940.00","154,690",空支付给多,"7,370"
Au(T+N1),386.90,386.90,385.10,386.75,2.65,0.69%,386.75,2.20,"850,820.00",768,,
Au(T+N2),380.70,383.70,380.70,382.20,1.10,0.29%,382.20,4.00,"1,528,800.00","91,866",,
mAu(T+D),383.20,383.70,381.80,382.27,1.14,0.30%,382.48,"6,917.80","2,645,956,182.00","544,716",多支付给空,"54,082"
Pt99.95,232.76,233.08,231.91,232.33,0.80,0.35%,232.56,168.00,"39,070,900.00",-,,
Ag99.99,"5,207","5,207","5,207","5,207",214,4.29%,"5,207",360.00,"1,874,520.00",24,,
Ag(T+D),"5,150","5,200","5,113","5,177",106,2.09%,"5,160","2,784,450.00","14,367,989,088.00","6,897,926",多支付给空,"91,020"
NYAuTN06,386.85,388.40,386.40,387.30,0.95,0.25%,387.00,234.20,"90,632,450.00","24,972",,
NYAuTN12,384.75,385.00,383.55,383.90,1.50,0.39%,383.90,124.00,"47,604,310.00","22,690",,
PGC30g,389.00,389.00,389.00,389.00,1.05,0.27%,389.00,0.06,"23,340.00",-,,
