合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,375.20,375.60,375.20,375.30,-1.22,-0.32%,375.30,24.00,"9,007,200.00",-,,
Au99.99,375.05,377.00,374.80,375.72,-0.92,-0.24%,375.36,"16,454.42","6,176,930,904.60",-,,
Au100g,376.65,377.39,375.00,377.01,-0.28,-0.07%,376.56,27.40,"10,317,920.00",-,,
iAu99.99,374.20,374.50,373.66,374.40,-1.42,-0.38%,374.20,460.60,"172,357,472.00",-,,
Au(T+D),375.50,376.81,374.55,375.59,-1.14,-0.30%,375.44,"17,234.00","6,470,394,100.00","155,204",空支付给多,"10,226"
Au(T+N1),378.80,378.80,377.05,377.90,-1.10,-0.29%,377.90,4.00,"1,511,700.00","60,508",,
Au(T+N2),382.30,382.30,379.05,379.75,-1.20,-0.32%,380.75,18.40,"7,005,900.00","63,308",,
mAu(T+D),375.30,376.77,374.50,375.33,-1.17,-0.31%,375.32,"4,423.20","1,660,121,284.00","724,548",多支付给空,"39,178"
Pt99.95,219.00,220.48,219.00,219.38,-2.83,-1.27%,219.82,118.00,"25,859,500.00",-,,
Ag(T+D),"5,004","5,036","4,920","4,931",-74,-1.48%,"4,969","2,270,854.00","11,284,689,736.00","7,157,060",空支付给多,180
NYAuTN06,377.55,378.00,376.95,377.45,-1.90,-0.50%,377.25,22.20,"8,374,510.00","27,706",,
NYAuTN12,381.30,382.00,380.25,381.40,-2.15,-0.56%,381.35,39.20,"14,950,060.00","14,316",,
PGC30g,380.40,380.43,380.40,380.41,-2.29,-0.60%,380.41,0.12,"45,649.80",-,,
