合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,373.60,373.60,372.95,373.00,-1.83,-0.49%,373.20,92.00,"34,334,600.00",-,,
Au99.99,375.00,375.50,372.80,373.27,-1.13,-0.30%,373.45,"7,769.38","2,901,606,733.00",-,,
Au100g,372.31,374.15,372.31,372.75,-1.95,-0.52%,373.39,10.60,"3,957,968.00",-,,
iAu99.99,372.75,373.25,372.30,372.43,-1.22,-0.33%,372.63,"1,374.66","512,243,215.00",-,,
Au(T+D),374.79,375.40,372.55,373.25,-2.07,-0.55%,373.42,"13,754.00","5,136,140,800.00","146,174",多支付给空,"7,872"
Au(T+N1),377.60,379.20,376.85,377.95,-1.20,-0.32%,377.95,4.60,"1,738,640.00",700,,
Au(T+N2),374.15,374.85,373.65,374.50,-1.40,-0.37%,374.50,24.20,"9,062,430.00","88,766",,
mAu(T+D),374.50,375.40,372.58,373.34,-1.72,-0.46%,373.60,"3,048.80","1,139,047,398.00","537,674",多支付给空,"16,250"
Pt99.95,216.71,216.71,215.00,215.32,-0.63,-0.29%,215.46,302.00,"65,071,440.00",-,,
Ag99.99,"5,069","5,069","5,069","5,069",-1,-0.02%,"5,069",600.00,"3,041,400.00",40,,
Ag(T+D),"5,063","5,084","5,025","5,037",-34,-0.67%,"5,055","2,558,302.00","12,933,050,670.00","7,059,142",空支付给多,"67,200"
NYAuTN06,378.50,379.50,378.10,378.75,-2.35,-0.62%,378.50,29.80,"11,280,090.00","17,726",,
NYAuTN12,376.60,376.70,374.50,375.00,-2.05,-0.54%,375.65,24.80,"9,316,430.00","34,684",,
PGC30g,379.57,379.57,379.57,379.57,0.57,0.15%,379.57,0.06,"22,774.20",-,,
