合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,377.00,377.00,376.70,376.86,0.86,0.23%,376.86,12.00,"4,522,400.00",-,,
Au99.99,376.00,377.38,375.50,376.67,0.33,0.09%,376.80,"17,430.70","6,583,040,808.80",-,,
Au100g,378.03,378.25,377.24,377.48,-0.38,-0.10%,377.62,13.20,"4,984,674.00",-,,
iAu99.99,375.00,376.41,374.88,375.41,0.07,0.02%,374.95,10.56,"3,959,524.80",-,,
Au(T+D),375.60,378.00,375.55,376.59,0.84,0.22%,376.87,"14,428.00","5,437,499,280.00","152,290",多支付给空,"6,572"
Au(T+N1),377.40,379.50,377.40,378.45,-0.10,-0.03%,378.45,4.20,"1,589,600.00","60,504",,
Au(T+N2),380.10,382.85,380.10,381.60,0.70,0.18%,381.40,15.20,"5,797,060.00","63,310",,
mAu(T+D),375.21,378.15,375.21,376.51,0.84,0.22%,376.60,"3,136.00","1,181,032,158.00","713,210",多支付给空,"26,680"
Pt99.95,218.08,218.61,217.93,217.97,1.56,0.72%,218.03,242.00,"52,763,740.00",-,,
Ag(T+D),"4,867","4,931","4,860","4,865",-14,-0.29%,"4,881","1,521,014.00","7,424,984,028.00","6,903,644",空支付给多,"44,100"
NYAuTN06,379.20,380.10,378.50,379.05,0.80,0.21%,379.35,9.00,"3,414,400.00","27,804",,
NYAuTN12,382.00,384.20,382.00,382.75,1.05,0.28%,382.85,74.40,"28,483,900.00","15,238",,
PGC30g,381.40,382.10,381.40,381.92,-0.08,-0.02%,381.92,0.24,"91,660.80",-,,
