合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,369.00,369.00,366.00,366.40,-5.07,-1.36%,367.10,422.00,"154,919,800.00",-,,
Au99.99,367.09,370.49,366.01,366.36,-4.73,-1.27%,367.50,"19,611.42","7,236,530,457.80",-,,
Au100g,367.51,376.00,366.80,366.97,-5.41,-1.45%,368.29,38.40,"14,142,402.00",-,,
iAu99.99,367.50,367.50,365.25,365.49,-5.73,-1.54%,366.19,802.72,"293,952,114.80",-,,
Au(T+D),369.41,372.69,366.00,366.21,-6.09,-1.64%,367.65,"31,092.00","11,431,220,920.00","153,070",空支付给多,"8,466"
Au(T+N1),372.05,372.05,371.00,371.30,-3.70,-0.99%,371.60,2.40,"891,820.00",694,,
Au(T+N2),369.00,369.00,368.00,368.90,-3.10,-0.83%,368.90,1.80,"664,000.00","89,108",,
mAu(T+D),370.20,370.20,366.10,366.30,-5.94,-1.60%,367.60,"8,750.60","3,216,743,834.00","509,224",空支付给多,"45,738"
Pt99.95,226.61,228.10,226.23,226.51,-1.25,-0.55%,227.07,114.00,"25,886,460.00",-,,
Ag(T+D),"4,901","4,940","4,876","4,903",-28,-0.57%,"4,906","2,809,590.00","13,786,507,720.00","6,270,494",空支付给多,"201,330"
NYAuTN06,375.00,375.00,371.35,371.80,-5.85,-1.55%,372.85,42.60,"15,884,370.00","19,106",,
NYAuTN12,371.35,371.95,364.05,367.60,-5.90,-1.58%,368.80,106.80,"39,390,550.00","30,480",,
PGC30g,373.87,373.87,373.47,373.68,-4.72,-1.25%,373.68,0.24,"89,685.00",-,,
