合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,395.90,396.80,395.90,396.45,4.45,1.14%,396.41,630.00,"249,740,800.00",-,,
Au99.99,393.99,397.20,392.20,396.73,4.34,1.11%,396.56,"10,104.46","3,726,102,590.20",-,,
Au100g,392.48,397.65,392.45,396.55,3.57,0.91%,396.48,31.60,"12,528,944.00",-,,
iAu99.99,400.20,400.20,398.00,400.00,-2.82,-0.70%,400.00,0.22,"88,000.00",-,,
Au(T+D),392.97,397.24,392.50,396.72,2.90,0.74%,395.49,"77,836.00","30,783,818,020.00","232,106",多支付给空,"11,514"
Au(T+N1),392.00,397.45,392.00,396.70,3.05,0.77%,396.10,168.80,"66,862,690.00","180,608",多支付给空,400
Au(T+N2),395.50,399.40,393.35,399.10,2.50,0.63%,398.90,172.40,"68,771,230.00","128,088",多支付给空,400
mAu(T+D),393.00,397.20,392.57,396.64,2.68,0.68%,395.43,"10,281.20","4,065,511,970.00","868,772",多支付给空,"32,114"
Pt99.95,203.00,203.00,201.00,201.19,5.19,2.65%,201.88,258.00,"52,085,600.00",-,,
Ag99.99,"4,193","4,193","4,193","4,193",381,9.99%,"4,193",60.00,"251,580.00",4,,
Ag(T+D),"4,142","4,294","4,127","4,268",97,2.33%,"4,232","22,051,010.00","93,322,321,606.00","11,717,780",多支付给空,"176,070"
NYAuTN06,396.90,401.55,396.90,401.25,2.30,0.58%,400.10,628.60,"251,490,560.00","43,600",,
NYAuTN12,398.00,402.50,397.90,402.35,2.55,0.64%,401.70,527.20,"211,781,590.00","73,570",,
PGC30g,401.05,402.50,401.05,402.00,4.03,1.01%,402.00,0.48,"192,960.60",-,,
