合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,367.20,367.20,357.00,358.42,-3.21,-0.89%,358.01,338.00,"121,008,800.00",-,,
Au99.99,362.96,362.96,356.12,359.00,-3.08,-0.85%,358.35,"15,636.34","5,620,639,311.00",-,,
Au100g,360.98,362.00,357.62,359.57,-2.36,-0.65%,359.09,34.20,"12,281,142.00",-,,
Au(T+D),360.24,360.30,355.20,358.70,-2.78,-0.77%,357.89,"61,572.00","22,036,097,880.00","160,970",空支付给多,"10,730"
Au(T+N1),363.20,363.20,359.40,360.50,-1.90,-0.52%,360.75,42.20,"15,223,210.00","141,138",多支付给空,600
Au(T+N2),364.00,365.50,362.50,362.70,-4.45,-1.21%,362.80,3.60,"1,306,080.00","65,572",多支付给空,240
mAu(T+D),360.47,360.63,355.75,358.72,-3.09,-0.85%,358.19,"9,283.60","3,325,380,066.00","569,772",多支付给空,"50,320"
Pt99.95,259.78,259.78,250.00,252.56,-6.65,-2.57%,251.85,692.00,"174,280,840.00",-,,
Ag99.99,"5,355","5,355","5,355","5,355",-23,-0.43%,"5,355",60.00,"321,300.00",4,,
Ag(T+D),"5,440","5,440","5,301","5,341",-81,-1.49%,"5,354","10,318,920.00","55,256,864,082.00","8,021,836",空支付给多,"179,430"
NYAuTN06,360.75,361.20,356.65,360.00,-2.55,-0.70%,358.65,358.00,"128,394,830.00","40,006",,
NYAuTN12,366.70,367.20,362.85,364.95,-3.35,-0.91%,364.70,62.80,"22,901,910.00","17,052",,
PGC30g,276.00,363.32,276.00,362.69,-4.31,-1.17%,359.62,1.62,"582,591.60",-,,
