合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,368.61,369.05,368.50,368.73,0.43,0.12%,368.64,702.00,"258,789,220.00",-,,
Au99.99,367.01,369.80,367.00,368.87,0.50,0.14%,368.90,"23,097.42","8,522,771,393.80",-,,
Au100g,371.00,373.94,369.70,372.47,0.61,0.16%,371.21,29.40,"10,913,780.00",-,,
iAu99.99,367.90,367.90,367.90,367.90,0.54,0.15%,367.90,0.72,"264,888.00",-,,
Au(T+D),368.55,369.58,367.01,368.44,-0.06,-0.02%,368.54,"15,758.00","5,807,499,720.00","154,026",空支付给多,"6,362"
Au(T+N1),369.05,371.90,369.05,371.25,0.45,0.12%,371.30,"2,008.00","745,613,800.00","40,608",,
Au(T+N2),373.60,373.70,373.60,373.70,-2.10,-0.56%,373.70,4.60,"1,718,960.00","63,346",,
mAu(T+D),369.44,369.70,367.35,368.83,0.31,0.08%,368.80,"11,404.20","4,205,896,424.00","796,452",空支付给多,"48,374"
Pt99.95,206.96,206.96,204.90,205.11,-1.96,-0.95%,205.26,624.00,"128,085,140.00",-,,
Ag99.99,"4,610","4,610","4,610","4,610",-8,-0.17%,"4,610",390.00,"1,797,900.00",26,,
Ag(T+D),"4,588","4,618","4,555","4,589",3,0.07%,"4,585","2,181,524.00","10,004,343,794.00","7,078,468",多支付给空,"280,530"
NYAuTN06,371.95,372.50,370.25,371.20,-0.15,-0.04%,371.30,20.20,"7,500,350.00","28,052",,
NYAuTN12,375.00,376.25,374.05,375.70,0.45,0.12%,375.70,72.20,"27,124,660.00","9,770",,
PGC30g,374.78,374.78,374.78,374.78,0.38,0.10%,374.78,0.06,"22,486.80",-,,
