合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,396.60,396.60,394.20,395.52,-2.42,-0.61%,395.21,658.00,"260,053,700.00",-,,
Au99.99,395.21,397.99,395.20,395.97,-2.52,-0.63%,396.06,"13,650.98","5,292,930,990.20",-,,
Au100g,397.54,398.79,395.80,396.05,-2.84,-0.71%,397.11,24.20,"9,610,112.00",-,,
iAu99.99,397.15,397.15,396.00,397.01,-0.75,-0.19%,397.01,1.74,"690,811.00",-,,
Au(T+D),397.03,397.28,394.20,395.00,-2.02,-0.51%,395.54,"34,438.00","13,621,734,320.00","170,226",多支付给空,"21,616"
Au(T+N1),399.00,399.40,398.00,398.75,-2.05,-0.51%,398.40,3.80,"1,513,910.00","82,668",多支付给空,"14,000"
Au(T+N2),405.00,405.00,402.40,403.90,-0.50,-0.12%,404.05,"1,804.60","729,155,000.00","23,812",,
mAu(T+D),397.00,397.90,395.00,395.50,-1.35,-0.34%,396.32,"6,974.00","2,763,953,352.00","562,530",多支付给空,"63,818"
Pt99.95,236.86,242.99,236.86,242.90,5.83,2.46%,240.47,184.00,"44,247,760.00",-,,
Ag(T+D),"5,625","5,643","5,564","5,573",-45,-0.80%,"5,600","10,073,964.00","56,423,576,088.00","11,298,620",空支付给多,"214,890"
NYAuTN06,402.00,402.75,399.60,399.80,-2.05,-0.51%,400.95,224.80,"90,139,670.00","50,790",,
NYAuTN12,407.10,408.10,405.15,405.80,-3.00,-0.73%,406.80,21.80,"8,868,410.00","6,822",,
PGC30g,399.91,399.91,399.91,399.91,-1.29,-0.32%,399.91,0.06,"23,994.60",-,,
