合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,370.60,371.80,370.40,371.56,-10.72,-2.80%,371.26,558.00,"206,939,600.00",-,,
Au99.99,377.01,377.01,370.50,372.06,-10.94,-2.86%,371.31,"13,998.88","5,194,733,416.60",-,,
Au100g,373.94,378.00,372.00,373.09,-10.99,-2.86%,372.91,54.40,"20,286,424.00",-,,
iAu99.99,368.90,370.35,368.00,369.93,-11.19,-2.94%,369.37,"6,360.50","2,349,843,832.00",-,,
Au(T+D),371.99,371.99,370.03,371.55,-10.51,-2.75%,371.04,"25,514.00","9,466,825,040.00","151,306",多支付给空,"8,390"
Au(T+N1),376.50,376.50,372.15,373.35,-12.20,-3.16%,375.30,90.40,"33,926,310.00","142,494",,
Au(T+N2),388.45,388.45,375.10,377.80,-10.60,-2.73%,377.90,10.40,"3,929,960.00","65,176",,
mAu(T+D),372.40,372.50,370.30,371.84,-10.57,-2.76%,371.28,"8,207.60","3,047,377,530.00","622,894",多支付给空,"23,530"
Pt99.95,271.65,271.69,270.00,271.48,18.16,7.17%,271.53,118.00,"32,041,440.00",-,,
Ag(T+D),"5,513","5,577","5,497","5,514",-5,-0.09%,"5,533","3,172,356.00","17,553,845,376.00","8,293,126",多支付给空,"45,180"
NYAuTN06,373.00,373.00,371.10,372.65,-11.40,-2.97%,372.15,455.60,"169,545,710.00","39,710",,
NYAuTN12,377.25,378.75,376.75,378.60,-11.50,-2.95%,377.60,28.60,"10,799,270.00","16,098",,
PGC30g,377.48,377.48,375.94,376.89,-9.13,-2.37%,376.69,0.60,"226,018.20",-,,
