合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,379.80,382.40,379.80,381.87,5.45,1.45%,381.61,38.00,"14,501,240.00",-,,
Au99.99,378.52,382.80,378.01,382.29,3.35,0.88%,381.57,"14,981.50","5,707,787,677.60",-,,
Au100g,381.50,384.00,379.51,383.94,3.88,1.02%,382.47,14.60,"5,584,134.00",-,,
iAu99.99,378.80,382.00,378.65,382.00,3.86,1.02%,381.92,38.24,"14,604,870.00",-,,
Au(T+D),378.30,382.76,377.94,382.21,4.06,1.07%,380.90,"16,272.00","6,198,023,240.00","153,362",空支付给多,"7,580"
Au(T+N1),379.10,383.40,379.10,383.10,4.65,1.23%,382.80,71.40,"27,331,760.00","62,640",,
Au(T+N2),383.50,386.90,383.05,385.75,4.05,1.06%,386.05,21.20,"8,183,890.00","66,418",,
mAu(T+D),379.15,383.00,378.03,381.99,3.68,0.97%,381.31,"7,918.20","3,019,325,410.00","747,050",空支付给多,"49,562"
Pt99.95,225.00,228.03,225.00,226.91,8.63,3.95%,226.91,54.00,"12,253,160.00",-,,
Ag(T+D),"4,803","4,830","4,768","4,807",31,0.65%,"4,799","1,898,086.00","9,109,043,268.00","6,307,736",空支付给多,"29,940"
NYAuTN06,380.40,384.25,380.25,384.15,4.75,1.25%,383.10,98.20,"37,620,450.00","28,028",,
NYAuTN12,384.90,388.80,383.25,388.60,4.25,1.11%,387.40,252.60,"97,859,140.00","46,256",,
PGC30g,386.15,386.50,386.15,386.38,2.38,0.62%,386.38,0.30,"115,914.60",-,,
