合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,375.00,376.50,375.00,376.50,3.50,0.94%,375.93,244.00,"91,727,000.00",-,,
Au99.99,373.50,377.00,372.10,376.39,3.12,0.84%,375.92,"12,878.54","4,937,878,514.00",-,,
Au100g,372.70,377.00,368.01,376.32,3.57,0.96%,375.17,27.80,"10,429,934.00",-,,
iAu99.99,372.00,376.25,372.00,375.82,3.39,0.91%,375.21,524.02,"196,618,907.00",-,,
Au(T+D),373.59,376.98,371.81,376.54,3.12,0.84%,375.46,"29,794.00","11,186,729,480.00","144,728",多支付给空,"11,110"
Au(T+N1),379.00,380.00,379.00,379.80,1.85,0.49%,379.80,2.80,"1,063,500.00",700,,
Au(T+N2),373.90,377.90,373.90,377.45,2.95,0.79%,377.00,45.00,"16,966,200.00","88,784",,
mAu(T+D),373.60,377.01,372.00,376.42,2.82,0.75%,375.32,"4,799.20","1,801,259,068.00","534,048",多支付给空,"16,098"
Pt99.95,214.10,215.89,213.00,215.65,0.33,0.15%,214.83,644.00,"140,914,800.00",-,,
Ag(T+D),"5,035","5,065","4,986","5,051",-4,-0.08%,"5,023","3,323,638.00","16,697,535,796.00","7,033,796",空支付给多,"70,470"
NYAuTN06,379.05,383.20,378.40,382.55,4.05,1.07%,382.30,109.40,"41,822,760.00","18,494",,
NYAuTN12,374.40,379.05,374.40,378.60,2.95,0.79%,377.85,43.40,"16,399,430.00","34,696",,
PGC30g,378.99,382.60,378.99,381.72,2.15,0.57%,381.32,0.54,"205,914.60",-,,
