合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,390.70,392.40,390.30,392.38,3.27,0.84%,390.90,438.00,"171,218,120.00",-,,
Au99.99,391.98,392.75,386.00,392.41,2.41,0.62%,391.60,"12,666.14","4,817,374,198.80",-,,
Au100g,388.35,395.00,388.21,392.91,2.27,0.58%,392.48,29.80,"11,696,058.00",-,,
iAu99.99,395.00,396.50,394.00,395.00,2.75,0.70%,395.00,"2,023.96","790,864,210.00",-,,
Au(T+D),387.81,392.75,385.72,392.14,1.94,0.50%,389.30,"120,466.00","46,897,958,140.00","231,314",多支付给空,"6,068"
Au(T+N1),387.20,392.75,386.00,392.35,1.00,0.26%,387.20,"4,040.80","1,564,642,200.00","113,214",多支付给空,
Au(T+N2),390.50,395.00,387.60,393.05,1.15,0.29%,391.05,162.40,"63,505,900.00","131,810",多支付给空,
mAu(T+D),388.23,392.80,385.91,392.06,1.75,0.45%,389.62,"14,371.40","5,599,476,658.00","845,860",多支付给空,"29,006"
Pt99.95,198.90,202.60,198.90,202.60,2.10,1.05%,200.09,350.00,"70,034,000.00",-,,
Ag(T+D),"4,158","4,256","4,104","4,237",44,1.05%,"4,188","22,082,594.00","92,498,018,930.00","12,422,288",多支付给空,"8,040"
NYAuTN06,392.10,396.90,390.40,396.25,1.70,0.43%,393.30,351.60,"138,283,880.00","37,796",,
NYAuTN12,393.30,399.65,393.00,399.15,2.45,0.62%,396.10,261.60,"103,614,930.00","81,532",,
PGC30g,396.61,398.16,396.61,398.00,2.39,0.60%,397.45,2.58,"1,025,446.20",-,,
