合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,371.00,379.35,369.70,369.76,-7.10,-1.88%,370.21,218.00,"80,707,520.00",-,,
Au99.99,376.22,376.99,369.80,370.28,-6.39,-1.70%,371.22,"27,918.78","10,476,095,906.80",-,,
Au100g,376.40,376.40,370.46,371.20,-6.28,-1.66%,372.18,23.60,"8,783,668.00",-,,
iAu99.99,375.26,375.26,369.00,369.68,-5.73,-1.53%,369.94,"1,995.52","738,238,570.00",-,,
Au(T+D),376.09,376.70,369.60,370.82,-6.05,-1.61%,371.62,"27,548.00","10,237,406,120.00","142,072",多支付给空,"11,920"
Au(T+N1),378.00,379.00,372.10,372.95,-5.50,-1.45%,375.05,15.00,"5,625,820.00","60,532",,
Au(T+N2),382.80,382.80,375.50,375.55,-5.85,-1.53%,378.20,19.40,"7,336,780.00","63,310",,
mAu(T+D),376.51,376.78,369.87,370.81,-5.79,-1.54%,371.56,"10,211.80","3,794,376,536.00","729,214",多支付给空,"45,952"
Pt99.95,222.38,222.38,216.90,217.52,-0.45,-0.21%,217.82,328.00,"71,446,100.00",-,,
Ag(T+D),"4,881","4,909","4,733","4,751",-130,-2.66%,"4,820","2,986,892.00","14,398,890,810.00","6,749,456",空支付给多,"44,790"
NYAuTN06,377.50,377.50,372.45,372.85,-6.50,-1.71%,373.70,76.20,"28,476,110.00","28,064",,
NYAuTN12,382.65,382.65,376.45,376.70,-6.15,-1.61%,378.45,94.20,"35,650,740.00","16,050",,
PGC30g,377.40,377.40,377.40,377.40,-4.52,-1.18%,377.40,0.06,"22,644.00",-,,
