合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,379.00,379.00,376.50,376.68,-0.54,-0.14%,376.89,238.00,"89,700,900.00",-,,
Au99.99,377.58,380.40,376.40,376.75,-0.71,-0.19%,377.18,"12,257.22","4,651,798,743.20",-,,
Au100g,377.66,382.50,376.50,377.21,-0.32,-0.08%,378.12,27.00,"10,209,350.00",-,,
iAu99.99,376.00,376.50,375.50,376.12,-0.52,-0.14%,376.12,0.08,"30,090.00",-,,
Au(T+D),378.00,380.50,375.95,376.91,-0.18,-0.05%,377.93,"37,074.00","14,011,654,480.00","154,036",多支付给空,"6,680"
Au(T+N1),382.95,383.80,380.60,381.85,1.20,0.32%,381.85,8.40,"3,207,670.00",722,,
Au(T+N2),378.50,378.90,378.50,378.70,0.45,0.12%,378.70,1.20,"454,440.00","89,270",,
mAu(T+D),377.90,380.52,376.12,376.87,-0.30,-0.08%,377.93,"5,369.40","2,029,294,166.00","531,846",多支付给空,"17,878"
Pt99.95,226.50,226.54,219.76,221.05,-6.33,-2.78%,221.57,"1,756.00","389,080,820.00",-,,
Ag(T+D),"5,356","5,403","5,285","5,299",-28,-0.53%,"5,333","5,389,026.00","28,743,527,590.00","7,601,076",空支付给多,"24,000"
NYAuTN06,384.55,386.20,382.00,382.70,-0.50,-0.13%,383.60,69.40,"26,622,340.00","12,572",,
NYAuTN12,381.15,383.50,379.05,379.40,-0.40,-0.11%,381.05,83.80,"31,933,670.00","36,034",,
PGC30g,382.64,382.87,382.45,382.54,-0.68,-0.18%,382.63,0.54,"206,621.40",-,,
