合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,372.30,372.30,367.00,367.77,-5.73,-1.53%,368.94,516.00,"190,374,060.00",-,,
Au99.99,372.00,374.40,367.10,368.26,-4.78,-1.28%,369.57,"14,172.30","5,243,853,488.80",-,,
Au100g,373.50,373.50,368.00,368.81,-5.49,-1.47%,370.72,60.00,"22,243,790.00",-,,
iAu99.99,369.40,369.40,360.11,364.65,-8.98,-2.40%,367.41,"5,982.52","2,203,359,877.20",-,,
Au(T+D),371.95,373.06,366.90,367.54,-6.59,-1.76%,369.44,"51,626.00","19,073,083,900.00","160,778",多支付给空,"12,582"
Au(T+N1),376.30,376.55,370.20,371.25,-5.10,-1.36%,372.50,16.80,"6,258,490.00","142,142",,
Au(T+N2),376.50,376.70,372.10,374.55,-4.65,-1.23%,374.50,30.20,"11,310,300.00","65,458",,
mAu(T+D),371.61,373.28,367.31,367.69,-6.67,-1.78%,370.05,"9,673.60","3,579,780,322.00","562,434",多支付给空,"40,744"
Pt99.95,269.50,269.50,261.48,261.88,-8.88,-3.28%,265.41,"1,546.00","410,337,040.00",-,,
Ag(T+D),"5,720","5,758","5,466","5,472",-226,-3.97%,"5,607","13,920,964.00","78,066,765,948.00","8,420,780",多支付给空,"354,630"
NYAuTN06,373.35,374.20,367.85,367.95,-7.70,-2.05%,370.20,191.40,"70,856,970.00","38,762",,
NYAuTN12,378.60,378.90,373.80,373.95,-6.90,-1.81%,375.90,79.20,"29,771,780.00","16,822",,
PGC30g,377.77,377.77,372.89,373.21,-4.56,-1.21%,374.61,2.64,"988,986.60",-,,
