合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,369.50,370.55,369.50,370.47,4.37,1.19%,370.29,32.00,"11,849,300.00",-,,
Au99.99,366.00,371.00,365.80,370.26,4.44,1.21%,369.88,"15,753.38","5,826,950,049.00",-,,
Au100g,366.00,370.97,366.00,370.68,4.68,1.28%,369.20,32.40,"11,962,166.00",-,,
iAu99.99,368.80,369.10,368.80,368.97,2.88,0.79%,368.97,0.62,"228,762.00",-,,
Au(T+D),366.24,370.79,365.42,370.00,3.55,0.97%,368.74,"26,614.00","9,813,788,280.00","164,186",空支付给多,"7,056"
Au(T+N1),372.95,375.80,370.30,374.45,2.60,0.70%,373.05,6.20,"2,312,990.00",610,,
Au(T+N2),368.45,371.80,368.05,371.45,0.70,0.19%,368.65,22.80,"8,405,020.00","89,254",,
mAu(T+D),366.42,370.80,365.50,370.32,3.90,1.06%,369.05,"4,945.00","1,824,985,690.00","563,384",空支付给多,"22,506"
Pt99.95,229.72,233.21,228.92,232.90,2.90,1.26%,231.93,336.00,"77,931,040.00",-,,
Ag(T+D),"5,314","5,410","5,293","5,399",103,1.94%,"5,359","4,842,144.00","25,953,587,078.00","8,358,692",多支付给空,"72,030"
NYAuTN06,375.00,376.80,372.00,376.20,3.00,0.80%,375.00,22.80,"8,549,900.00","5,640",,
NYAuTN12,370.45,374.30,369.50,373.55,2.95,0.80%,372.80,135.20,"50,404,480.00","36,870",,
PGC30g,375.30,376.20,375.30,375.75,2.98,0.80%,375.75,0.12,"45,090.00",-,,
