id,version_date,item,open,high,low,close,up_or_down,mapping,refresh_date
9,2017-11-08,Au(T+D),273.97,274.62,273.7,274.5,0.52,1.0,2021-12-30 16:57:58
19,2017-11-09,Au(T+D),274.7,275.54,274.43,275.4,1.07,1.0,2021-12-30 16:57:58
30,2017-11-10,Au(T+D),275.8,276.42,275.68,276.0,0.93,1.0,2021-12-30 16:57:58
38,2017-11-13,Au(T+D),276.05,276.35,274.62,274.85,-1.22,-1.0,2021-12-30 16:57:58
49,2017-11-14,Au(T+D),275.09,275.25,274.43,274.46,-0.64,-1.0,2021-12-30 16:57:58
60,2017-11-15,Au(T+D),273.9,275.2,273.55,275.13,0.53,1.0,2021-12-30 16:57:58
71,2017-11-16,Au(T+D),275.49,275.6,274.02,274.13,-0.48,-1.0,2021-12-30 16:57:58
82,2017-11-17,Au(T+D),274.28,275.0,274.21,274.7,-0.04,-1.0,2021-12-30 16:57:58
94,2017-11-20,Au(T+D),275.05,276.45,274.74,276.27,1.52,1.0,2021-12-30 16:57:58
105,2017-11-21,Au(T+D),276.25,276.48,274.5,274.69,-1.15,-1.0,2021-12-30 16:57:58
113,2017-10-25,Au(T+D),273.99,274.3,273.5,273.59,-0.81,-1.0,2021-12-30 16:57:58
124,2017-10-26,Au(T+D),273.7,274.69,273.4,274.43,0.59,1.0,2021-12-30 16:57:58
135,2017-10-27,Au(T+D),273.9,274.51,272.59,272.67,-1.54,-1.0,2021-12-30 16:57:58
148,2017-10-30,Au(T+D),272.7,273.6,272.21,273.05,-0.39,-1.0,2021-12-30 16:57:58
159,2017-10-31,Au(T+D),272.93,273.95,272.93,273.8,0.83,1.0,2021-12-30 16:57:58
170,2017-11-01,Au(T+D),273.35,273.68,272.45,273.15,-0.48,-1.0,2021-12-30 16:57:58
181,2017-11-02,Au(T+D),273.29,273.3,272.54,272.91,0.08,1.0,2021-12-30 16:57:58
192,2017-11-03,Au(T+D),272.61,273.96,272.61,273.29,0.26,1.0,2021-12-30 16:57:58
203,2017-11-06,Au(T+D),273.25,273.99,272.63,272.81,-0.55,-1.0,2021-12-30 16:57:58
214,2017-11-07,Au(T+D),273.1,274.6,273.03,274.18,0.97,1.0,2021-12-30 16:57:58
225,2017-10-11,Au(T+D),276.24,276.4,274.8,274.8,-1.0,-1.0,2021-12-30 16:57:58
236,2017-10-12,Au(T+D),275.45,276.54,274.62,276.16,0.72,1.0,2021-12-30 16:57:58
246,2017-10-13,Au（T+D),276.0,276.38,275.45,276.23,0.38,1.0,2021-12-30 16:57:58
255,2017-10-16,Au(T+D),275.8,277.88,275.7,277.78,1.79,1.0,2021-12-30 16:57:58
264,2017-10-17,Au(T+D),277.92,278.0,275.95,276.3,-0.64,-1.0,2021-12-30 16:57:58
275,2017-10-18,Au(T+D),276.16,276.34,274.98,275.26,-1.35,-1.0,2021-12-30 16:57:58
285,2017-10-19,Au(T+D),274.6,275.26,274.22,274.73,-0.77,-1.0,2021-12-30 16:57:58
296,2017-10-20,Au(T+D),275.34,275.66,274.6,274.72,0.1,1.0,2021-12-30 16:57:58
306,2017-10-23,Au(T+D),275.06,275.09,273.72,273.78,-1.34,-1.0,2021-12-30 16:57:58
316,2017-10-24,Au(T+D),273.81,275.01,273.45,274.64,0.49,1.0,2021-12-30 16:57:58
328,2017-09-20,Au(T+D),278.5,278.75,278.0,278.61,0.33,1.0,2021-12-30 16:57:58
338,2017-09-21,Au(T+D),278.96,279.18,275.85,276.05,-2.47,-1.0,2021-12-30 16:57:58
348,2017-09-22,Au(T+D),275.6,276.8,275.15,276.76,-0.59,-1.0,2021-12-30 16:57:58
356,2017-09-25,Au(T+D),276.3,276.43,275.5,276.2,0.43,1.0,2021-12-30 16:57:58
366,2017-09-26,Au(T+D),276.6,280.51,276.17,280.01,3.97,1.0,2021-12-30 16:57:58
376,2017-09-27,Au(T+D),279.15,279.7,277.5,277.61,-1.51,-1.0,2021-12-30 16:57:58
386,2017-09-28,Au(T+D),277.5,277.55,276.08,276.61,-1.89,-1.0,2021-12-30 16:57:58
397,2017-09-29,Au(T+D),277.0,277.6,276.4,277.59,0.95,1.0,2021-12-30 16:57:58
409,2017-10-09,Au(T+D),275.5,276.55,275.13,275.9,-1.28,-1.0,2021-12-30 16:57:58
420,2017-10-10,Au（T+D),276.1,276.35,275.45,275.77,-0.24,-1.0,2021-12-30 16:57:58
430,2017-09-06,Au(T+D),280.65,282.25,280.65,282.2,0.82,1.0,2021-12-30 16:57:58
438,2017-09-07,Au(T+D),282.02,282.1,280.8,281.1,-0.6,-1.0,2021-12-30 16:57:58
452,2017-09-08,Au(T+D),281.34,282.2,280.71,281.76,0.46,1.0,2021-12-30 16:57:58
459,2017-09-11,Au(T+D),282.0,282.05,280.66,280.92,-0.77,-1.0,2021-12-30 16:57:58
469,2017-09-12,Au(T+D),280.7,281.18,279.38,279.62,-1.6,-1.0,2021-12-30 16:57:58
479,2017-09-13,Au(T+D),279.5,280.45,279.5,280.22,0.1,1.0,2021-12-30 16:57:58
490,2017-09-14,Au(T+D),280.68,280.68,279.14,279.64,-0.47,-1.0,2021-12-30 16:57:58
